name,category,url,target_segment,features,price_clp,coverage_chile,integrations,limitations,maturity,founded_year,last_activity,gap_vs_propos,checked_date
SII,fuente_publica_tributaria,https://www.sii.cl/servicios_online/1048-.html,publico_general+propietarios,certificados avaluo fiscal + mis-bienes-raices integrado + rol unico,gratis,nacional,sin_API_publica_formal_scraping_comun,detalle completo solo propietario registrado,produccion_decadas,90s,activo,no competidor fuente PropOS debe integrar,2026-05-07
TGR,fuente_publica_tributaria,https://www.tgr.cl/certificado-deuda-contribuciones/,publico_general+propietarios,certificado deuda+pago contribuciones + cartola tributaria,gratis,nacional,ClaveUnica_sin_API_publica,sin API formal RPA via scraping,produccion,90s,activo,fuente no competidor,2026-05-07
DOM en Linea,fuente_publica_municipal,https://domenlinea.minvu.cl/,publico+profesionales_construccion,certificados DOM + permisos edificacion + subdivision + urbanizacion + regularizaciones,gratis_ClaveUnica,nacional_segun_municipio_adherido,ClaveUnica_cobertura_municipal_no_100pct,muchas DOMs no adheridas 2026,produccion,2016_iniciativa,activo_2026,fuente no competidor cobertura irregular PropOS debe fallback municipal,2026-05-07
DGA,fuente_publica_recursos_hidricos,https://dga.mop.gob.cl/derechos-de-agua/,propietarios_rural+abogados,Catastro Publico Aguas + registro derechos agua + SNIA portal,gratis,nacional,ClaveUnica_SNIA_sin_API_formal,UI busqueda no API tecnica,produccion,90s,activo,fuente clave rural no competidor,2026-05-07
Registro Civil,fuente_publica_identidad,https://www.registrocivil.cl/,publico_general,certificados identidad+nacimiento+matrimonio+defuncion+antecedentes,gratis_online,nacional,ClaveUnica_datos_abiertos_portal,sin API publica formal de personas + 3rd parties Floid pagado,produccion,decadas,activo,fuente no competidor,2026-05-07
Filedom (DOM tercerizado),fuente_municipal_tercerizada,https://puentealto.filedom.cl/dom/,municipios_clientes+publico,plataforma DOM tercerizada para municipios sin DOM en Linea oficial,segun_municipio,parcial,ninguna_publica,fragmentado municipio por municipio,produccion,2010s,activo,fuente PropOS debe mapear municipio x municipio,2026-05-07
MOP IDE GeoMOP,fuente_publica_geoespacial,https://geomop.mop.gob.cl/,profesionales_tecnicos+publico,capas SIG infraestructura+aguas+riesgos MOP + WMS WFS,gratis,nacional,WMS+WFS_OGC,UI tecnica requiere saber SIG,produccion,2010s,activo_Expo2023,fuente no competidor clave georef PropOS,2026-05-07
IDE Bienes Nacionales,fuente_publica_geoespacial,https://ide.bienes.cl/,profesionales+publico,catastro fiscal terrenos + bienes nacionales + concesiones,gratis,nacional,WMS+WFS,similar MOP IDE,produccion,2010s,activo,fuente PropOS,2026-05-07
CONADI,fuente_publica_indigena,https://www.conadi.gob.cl/,comunidades_indigenas+abogados,Registro Publico Tierras Indigenas + certificado calidad indigena + personalidad juridica comunidades,gratis,nacional,ClaveUnica_sin_API,sin busqueda pred roles publica totalmente,produccion,1993_Ley_19253,activo,fuente clave rural mapuche PropOS debe cruzar,2026-05-07
CMN Monumentos,fuente_publica_patrimonio,https://www.monumentos.gob.cl/geoportal,profesionales+publico,Geoportal monumentos historicos + zonas tipicas + santuarios naturaleza,gratis,nacional,Geoportal_WMS,UI no API formal,produccion,1970_Ley_17288,activo,flag restricciones PropOS,2026-05-07
SubsecFFAA,fuente_publica_borde_costero,https://portalconcesiones.ssffaa.cl/,solicitantes_concesion+abogados,portal concesiones maritimas + tramitacion 100pct online ClaveUnica,gratis_tramite,nacional_borde_costero,ClaveUnica,sin busqueda publica roles solo tramite propio,produccion,2020_portal,activo,flag borde costero PropOS,2026-05-07
Coordinador Electrico Nacional,fuente_publica_electrica,https://www.coordinador.cl/,actores_mercado_electrico+investigadores,datos instalaciones+SE+lineas + reportes + SAIP,gratis,nacional,downloads_CSV+SAIP_sin_API_formal_servidumbres,sin API publica servidumbres electricas detalladas,produccion,2017_Ley_20936,activo,fuente servidumbres electricas PropOS rural,2026-05-07
BCN Ley Chile,fuente_publica_legislativa,https://www.bcn.cl/leychile/,publico+abogados+devs,300K+normas + web service legislacion abierta + jurisprudencia CS asociada,gratis,nacional,API_Legislacion_Abierta+Linked_Open_Data_W3C,no cubre jurisprudencia completa CAJ pjud,produccion_referente_mundial,1980s-1990s,activo_2026,fuente clave PropOS citas normativas,2026-05-07
Poder Judicial PJUD,fuente_publica_judicial,https://www2.pjud.cl/consulta-de-causas2,publico+abogados,consulta unificada causas + oficina judicial virtual + presentacion electronica,gratis_via_ClaveUnica,nacional,ClaveUnica_presentacion_sin_API_publica_formal,scraping fragil anti-bot + sin API,produccion,2000s,activo,fuente litigios PropOS flag criticos,2026-05-07
Floid,legaltech_API_identidad,https://www.floid.io/servicios/api-registro-civil,fintech+legaltech+empresas,API verificacion identidad cruzando Registro Civil+RUT+PDF certificados,pago_por_consulta_no_publico,Chile,API_REST,solo identidad no titulos inmuebles,operativo,desconocido,activo_2025,API comercial PropOS puede integrar,2026-05-07
DataBAM,proptech_data_inmobiliaria,https://databam.cl/,tasadores+corredores+inmobiliarias,data compraventa+herencia+adjudicaciones + reportes,no_publico,nacional,API_no_detallada_publica,foco data historica no due diligence,operativo,desconocido,activo_2025,sin overlap PropOS fuente data mercado,2026-05-07
ComunidadFeliz,proptech_administracion_edificios,https://www.comunidadfeliz.com/,administradores_condominios,gestion comunidades + gastos comunes + reservas + comunicaciones,suscripcion_mensual,LATAM_Chile_Mexico_Peru,plataforma_propia,vertical administracion edificios no titulos,maduro_LATAM,2014_aprox,activo_2026,sin overlap funcional PropOS,2026-05-07
